id,name,profile_name,clicks,registrations,ftd_count,reg_rate,ftd_rate,ngr_per_ftd,total_ngr,retention_30d
1,"Rodriguez, Figueroa and Sanchez",SEO,13456,1095,415,0.0814,0.3793,135.61,56276.6,0.6611
2,Doyle Ltd,SEO,31129,1517,623,0.0487,0.4108,165.23,102939,0.6018
3,"Mcclain, Miller and Henderson",SEO,8906,393,113,0.0442,0.2894,141.12,15947,0.6674
4,Davis and Sons,SEO,15307,1226,388,0.0801,0.3172,114.36,44372,0.6723
5,"Guzman, Hoffman and Baldwin",SEO,23991,2005,679,0.0836,0.3387,157.13,106690,0.5495
6,"Gardner, Robinson and Lawrence",SEO,23654,1033,432,0.0437,0.419,202.37,87422,0.5562
7,Blake and Sons,SEO,28520,2276,746,0.0798,0.3281,196.89,146883,0.5712
8,"Henderson, Ramirez and Lewis",SEO,11233,858,269,0.0765,0.3141,187.5,50438.6,0.5932
9,Garcia-James,SEO,33815,1610,496,0.0476,0.3087,148.25,73531.2,0.486
10,Abbott-Munoz,SEO,20602,928,281,0.045,0.3037,191.18,53721.3,0.6392
11,Blair PLC,SEO,13489,1107,374,0.0821,0.3381,185.54,69392,0.585
12,Dudley Group,SEO,13042,802,250,0.0615,0.3126,153.47,38367.5,0.4299
13,Arnold Ltd,SEO,3334,227,86,0.0682,0.3805,208.92,17967.3,0.6793
14,"Mcclure, Ward and Lee",SEO,34225,2368,921,0.0692,0.3891,170.14,156700,0.4956
15,Williams and Sons,SEO,6625,279,94,0.0421,0.3393,195.92,18416.7,0.5632
16,Galloway-Wyatt,SEO,4624,327,95,0.0709,0.2914,207.53,19715,0.5336
17,James Group,SEO,37914,2127,810,0.0561,0.3811,193.24,156528,0.565
18,"Flowers, Martin and Kelly",SEO,9648,490,148,0.0508,0.3029,211.15,31250.8,0.6548
19,"Adams, Zuniga and Wong",SEO,26162,1204,381,0.046,0.3165,189.45,72179.5,0.4289
20,"Reid, Ferguson and Sanchez",SEO,3925,266,96,0.0679,0.3611,132.06,12678.1,0.4215
21,Gray-Mayo,SEO,15039,849,265,0.0565,0.3124,164.62,43624.2,0.6208
22,"Watts, Robinson and Nguyen",SEO,11748,918,274,0.0782,0.299,173.02,47407.8,0.6723
23,Perez Inc,SEO,8270,438,129,0.053,0.2963,189.99,24509.2,0.4268
24,Morales-Jones,SEO,24072,1177,482,0.0489,0.4097,213.74,103022,0.4808
25,"Walter, Edwards and Rios",SEO,19667,1707,591,0.0868,0.3467,187.16,110612,0.5067
26,Wilkerson-Day,SEO,7389,303,87,0.041,0.2876,175.88,15302,0.5532
27,Baker and Sons,SEO,38272,1854,723,0.0485,0.3903,113.28,81901.8,0.6554
28,"Hoffman, Baker and Richards",SEO,7066,390,146,0.0552,0.3759,98.68,14407.2,0.4343
29,"Ross, Robinson and Bright",SEO,28495,1412,576,0.0496,0.4081,117.71,67801.1,0.6081
30,"Snyder, Campos and Callahan",SEO,16618,792,250,0.0477,0.3162,191.44,47859.7,0.5588
31,Burton Ltd,SEO,23937,1417,471,0.0592,0.333,134.85,63515.2,0.6316
32,Carlson-Cruz,SEO,3380,244,71,0.0723,0.2938,188.22,13363.9,0.5182
33,"Ferrell, Rice and Maddox",SEO,19096,1104,413,0.0578,0.3746,139.92,57785.9,0.5942
34,Frazier Inc,SEO,14510,748,302,0.0516,0.4038,145.85,44046.7,0.6763
35,"Dyer, Potter and Mack",SEO,34259,2612,869,0.0763,0.333,97.34,84587.1,0.5523
36,Rodriguez-Graham,SEO,22367,1693,581,0.0757,0.3433,200.28,116362,0.6398
37,Smith-Bowen,SEO,3427,284,100,0.0829,0.3525,162.04,16204.3,0.4804
38,"Baker, Mason and White",SEO,34488,1891,708,0.0548,0.3748,209.48,148315,0.5041
39,Harrell LLC,SEO,37291,3183,1111,0.0854,0.3493,112.95,125483,0.6437
40,"Romero, Gonzalez and Brooks",SEO,16211,981,276,0.0605,0.2819,171.58,47354.7,0.5837
41,Ryan PLC,SEO,13696,1021,345,0.0745,0.3385,164.43,56728.5,0.4946
42,George Group,SEO,33143,1390,468,0.042,0.3367,117.8,55128.1,0.5847
43,Rodriguez LLC,SEO,34460,1571,544,0.0456,0.3465,132.11,71866,0.6141
44,Allen-Allen,SEO,29695,2327,843,0.0784,0.3626,175.29,147768,0.4976
45,"Arroyo, Miller and Tucker",SEO,32804,2223,809,0.0678,0.3643,130.12,105267,0.5338
